"","X","city","latd","longd","elevation_m","elevation_ft","population_total","area_total_sq_mi","area_land_sq_mi","area_water_sq_mi","area_total_km2","area_land_km2","area_water_km2","area_water_percent"
"228",227,"LiveOakSutterCounty",39.2758333333333,-121.66,NA,79,8392,1.869,1.869,0,4.839,4.839,0,0
"229",228,"Livermore",37.6819444444444,-121.768055555556,NA,495,83547,25.176,25.173,0.003,65.204,65.198,0.007,0.01
"230",229,"Livingston",37.3869444444444,-120.723611111111,40,131,13058,3.715,3.715,0,9.622,9.622,0,0
"231",230,"Lodi",38.1288888888889,-121.280833333333,15,50,62134,13.825,13.611,0.214,35.805,35.252,0.553,1.54
"232",231,"LomaLinda",34.0483333333333,-117.250555555556,355,1165,23261,7.517,7.516,0.001,19.47,19.467,0.002,0.01
"233",232,"Lomita",33.7933333333333,-118.316111111111,29,95,20256,1.911,1.911,0,4.949,4.949,0,0
"234",233,"Lompoc",34.6461111111111,-120.460277777778,32,105,42434,11.675,11.597,0.078,30.237,30.037,0.201,0.66
"235",234,"LongBeach",33.7683333333333,-118.195555555556,NA,0,462257,51.437,50.293,1.144,133.223,130.259,2.964,2.22
"236",235,"Loomis",38.8163888888889,-121.192777777778,123,404,6430,7.267,7.267,0,18.822,18.822,0,0
"237",236,"LosAlamitos",33.8022222222222,-118.064444444444,7,23,11449,4.116,4.05,0.066,10.659,10.489,0.17,1.6
"238",237,"LosAltos",37.3680555555556,-122.0975,NA,157,28976,6.487,6.487,0,NA,NA,NA,NA
"239",238,"LosAltosHills",37.3713888888889,-122.1375,89,292,7922,8.802,8.802,0,22.797,22.797,0,0
"240",239,"LosAngeles",34.05,-118.25,71,2,3884307,503,469,34,1302,1214,88,6.7
"241",240,"LosBanos",37.0583333333333,-120.85,36,118,35972,10.117,9.993,0.124,26.203,25.882,0.321,1.22
"242",241,"LosGatos",37.2361111111111,-121.961666666667,105,344,29413,11.16,11.08,0.08,28.903,28.697,0.206,0.71
"243",242,"Loyalton",39.6766666666667,-120.243055555556,1509,4951,769,0.355,0.355,0,0.921,0.921,0,0
"244",243,"Lynwood",33.9247222222222,-118.201944444444,28,92,69772,4.84,4.84,0,12.536,12.536,0,0
"245",244,"Madera",36.9613888888889,-120.060833333333,83,271,61416,15.789,15.789,0,40.894,40.894,0,0
"246",245,"Malibu",34.03,-118.75,32,105,12645,19.828,19.785,0.043,51.354,51.242,0.113,0.22
"247",246,"MammothLakes",37.6486111111111,-118.971944444444,2402,7880,8234,25.306,24.866,0.44,65.541,64.402,1.139,1.74
"248",247,"ManhattanBeach",33.8888888888889,-118.405277777778,20,67,35135,3.941,3.937,0.004,10.208,10.197,0.01,0.1
"249",248,"Manteca",37.8027777777778,-121.220833333333,11,38,71067,17.757,17.733,0.024,45.991,45.929,0.062,0.13
"250",249,"Maricopa",35.0588888888889,-119.400833333333,269,883,1154,1.502,1.502,0,3.89,3.89,0,0
"251",250,"Marina",36.6844444444444,-121.802222222222,13,43,29718,9.763,8.883,0.88,25.287,23.007,2.28,9.02
"252",251,"Martinez",38.0194444444444,-122.134166666667,7,23,35824,13.135,12.131,1.004,34.019,31.42,2.6,7.64
"253",252,"Marysville",39.15,-121.583333333333,19,62,12072,3.585,3.464,0.121,9.284,8.971,0.312,3.36
"254",253,"Maywood",33.9877777777778,-118.186666666667,46,151,27395,1.178,1.178,0,3.052,3.052,0,0
"255",254,"McFarland",35.6780555555556,-119.229166666667,108,354,13745,2.668,2.668,0,6.91,6.91,0,0
"256",255,"Mendota",36.7536111111111,-120.381666666667,53,174,11014,3.281,3.278,0.003,8.499,8.491,0.008,0.1
"257",256,"Menifee",33.6783333333333,-117.166944444444,434,1424,77519,46.607,46.466,0.141,120.711,120.345,0.365,0.3
"258",257,"MenloPark",37.4527777777778,-122.183333333333,22,72,32026,17.415,9.79,7.625,45.105,25.355,19.75,43.79
"259",258,"Merced",37.3,-120.483333333333,52,171,80793,23.316,23.316,0,60.389,60.389,0,0
"260",259,"Millbrae",37.6008333333333,-122.401388888889,NA,33,21536,3.259,3.247,0.012,8.439,8.409,0.03,0.36
"261",260,"MillValley",37.9061111111111,-122.545,NA,79,13903,4.847,4.763,0.084,12.555,12.336,0.219,1.74
"262",261,"Milpitas",37.4347222222222,-121.895,5,16,70092,13.641,13.591,0.05,35.328,35.2,0.128,0.36
"263",262,"MissionViejo",33.6127777777778,-117.656111111111,121,448,96346,18.123,17.739,0.384,46.939,45.944,0.995,2.12
"264",263,"Modesto",37.6613888888889,-120.994444444444,27,89,201165,37.092,36.867,0.225,96.069,95.486,0.583,0.61
"265",264,"Monrovia",34.1441666666667,-118.001944444444,174,571,36590,13.714,13.605,0.109,35.519,35.237,0.282,0.79
"266",265,"Montague",41.7272222222222,-122.526388888889,774,2539,1443,1.793,1.778,0.015,4.644,4.605,0.039,0.85
"267",266,"Montclair",34.0708333333333,-117.6975,326,1066,36664,5.517,5.517,0,14.289,14.289,0,0
"268",267,"Montebello",34.0144444444444,-118.114444444444,61,200,62500,8.373,8.333,0.04,21.685,21.581,0.104,0.48
"269",268,"Monterey",36.6,-121.9,8,26,27810,11.764,8.466,3.298,30.469,21.927,8.542,28.03
"270",269,"MontereyPark",34.0491666666667,-118.135555555556,117,384,60269,7.733,7.672,0.061,20.029,19.87,0.158,0.79
"271",270,"MonteSereno",37.2380555555556,-121.989444444444,NA,515,3341,1.615,1.615,0,4.184,4.184,0,0
"272",271,"Moorpark",34.2808333333333,-118.873333333333,157,515,34421,12.799,12.579,0.22,33.149,32.58,0.569,1.72
"273",272,"Moraga",37.835,-122.129722222222,NA,NA,16016,9.442,9.433,0.009,24.455,24.432,0.023,0.09
"274",273,"MorenoValley",33.9430555555556,-117.228333333333,497,1631,193365,51.475,51.275,0.2,133.319,132.8,0.519,0.39
"275",274,"MorganHill",37.1305555555556,-121.654444444444,107,350,37882,12.882,12.882,0,33.363,33.363,0,0
"276",275,"MorroBay",35.3791666666667,-120.853333333333,19,62,10234,10.322,5.303,5.019,26.734,13.734,13,48.63
"277",276,"MountainView",37.3894444444444,-122.081944444444,32,105,74066,12.273,11.995,0.278,31.788,31.068,0.72,2.26
"278",277,"MountShasta",41.3144444444444,-122.311388888889,1099,3606,3394,3.77,3.766,0.004,9.764,9.754,0.01,0.1
"279",278,"Murrieta",33.5694444444444,-117.2025,334,1096,103466,33.613,33.577,0.036,87.058,86.964,0.094,0.11
"280",279,"Napa",38.3047222222222,-122.298888888889,NA,20,76915,18.147,17.839,0.308,47,46.203,0.797,1.69
"281",280,"NationalCity",32.6780555555556,-117.099166666667,21,69,58582,9.116,7.277,1.839,23.609,18.847,4.762,20.17
"282",281,"Needles",34.8383333333333,-114.611111111111,151,495,4844,31.275,30.808,0.467,81.002,79.793,1.209,1.49
"283",282,"NevadaCity",39.2613888888889,-121.018611111111,755,2477,3068,2.192,2.188,0.004,5.677,5.667,0.01,0.17
"284",283,"Newark",37.5333333333333,-122.033333333333,NA,20,43539,13.898,13.875,0.023,35.996,35.936,0.061,0.17
"285",284,"Newman",37.315,-121.0225,27,89,10224,2.102,2.102,0,5.444,5.444,0,0
"286",285,"NewportBeach",33.6166666666667,-117.8975,3,NA,85186,52.978,23.805,29.173,137.211,61.654,75.557,55.07
"287",286,"Norco",33.9311111111111,-117.548611111111,195,640,27063,14.278,13.962,0.316,36.98,36.161,0.819,2.22
"288",287,"Norwalk",33.9069444444444,-118.083333333333,28,92,105549,9.746,9.707,0.039,25.243,25.141,0.102,0.4
"289",288,"Novato",38.1075,-122.569722222222,9,30,51904,27.957,27.44,0.517,72.407,71.068,1.339,1.85
"290",289,"Oakdale",37.7691666666667,-120.856944444444,48,157,20675,6.095,6.045,0.05,15.784,15.655,0.129,0.81
"291",290,"Oakland",37.8044444444444,-122.270833333333,NA,43,406253,78.002,55.786,22.216,202.024,144.485,57.54,28.48
"292",291,"Oakley",37.9975,-121.7125,6,20,35432,16.155,15.853,0.302,41.842,41.059,0.783,1.87
"293",292,"Oceanside",33.2116666666667,-117.325833333333,20,66,183095,42.174,41.235,0.939,109.231,106.798,2.433,2.23
"294",293,"Ojai",34.4491666666667,-119.246666666667,227,745,7461,4.401,4.386,0.015,11.398,11.359,0.04,0.35
"295",294,"Ontario",34.0527777777778,-117.627777777778,282,925,163924,50.006,49.941,0.065,129.515,129.345,0.17,0.13
"296",295,"Orange",33.8030555555556,-117.8325,59,195,136416,25.24,24.797,0.443,65.371,64.224,1.147,1.75
"297",296,"OrangeCove",36.6244444444444,-119.313611111111,129,423,9078,1.912,1.912,0,4.951,4.951,0,0
"298",297,"Orinda",37.8827777777778,-122.179722222222,151,495,18342,12.698,12.683,0.015,32.887,32.848,0.039,0.12
"299",298,"Orland",39.7475,-122.196388888889,79,259,7291,2.971,2.971,0,7.696,7.696,0,0
"300",299,"Oroville",39.5166666666667,-121.55,51,167,15506,13.011,12.993,0.018,33.701,33.653,0.048,0.14
"301",300,"Oxnard",34.1913888888889,-119.1825,16,52,203585,39.208,26.894,12.314,101.548,69.656,31.893,31.41
"302",301,"Pacifica",37.6227777777778,-122.485555555556,25,82,37234,12.66,12.658,0.002,32.789,32.784,0.005,0.01
"303",302,"PacificGrove",36.6177777777778,-121.916666666667,46,151,15295,4.003,2.865,1.138,10.366,7.419,2.946,28.42
"304",303,"Palmdale",34.5811111111111,-118.100555555556,810,2657,152750,106.216,105.961,0.255,275.099,274.439,0.66,0.24
"305",304,"PalmDesert",33.7255555555556,-116.369444444444,67,220,48445,27.014,26.81,0.204,69.966,69.437,0.529,0.76
"306",305,"PalmSprings",33.8238888888889,-116.530277777778,146,440,44552,94.975,94.116,0.859,245.984,243.761,2.224,0.9
"307",306,"PaloAlto",37.4291666666667,-122.138055555556,9,30,64403,25.787,23.884,1.903,66.787,61.858,4.929,7.38
"308",307,"PalosVerdesEstates",33.7869444444444,-118.396666666667,64,210,13438,4.774,4.774,0,12.365,12.364,0.001,0.01
"309",308,"Paradise",39.7597222222222,-121.621388888889,542,1778,26249,18.322,18.308,0.014,47.455,47.418,0.037,0.08
"310",309,"Paramount",33.9,-118.166666666667,21,69,54098,4.84,4.729,0.111,12.536,12.249,0.286,2.28
"311",310,"Parlier",36.6116666666667,-119.526944444444,105,344,14494,2.194,2.194,0,5.682,5.682,0,0
"312",311,"Pasadena",34.1561111111111,-118.131944444444,263,863,137122,23.128,22.97,0.158,59.902,59.493,0.409,0.68
"313",312,"PasoRobles",35.6408333333333,-120.653888888889,242,NA,29792,19.425,19.12,0.305,50.312,49.522,0.79,1.57
"314",313,"Patterson",37.4730555555556,-121.132777777778,31,102,20413,5.954,5.954,0,15.421,15.421,0,0
"315",314,"Perris",33.7966666666667,-117.224444444444,443,1453,71326,31.503,31.393,0.11,81.594,81.308,0.286,0.35
"316",315,"Petaluma",38.2458333333333,-122.631388888889,9,30,58921,14.489,14.382,0.107,37.527,37.249,0.278,0.74
"317",316,"PicoRivera",33.9888888888889,-118.089166666667,50,164,62942,8.882,8.296,0.586,23.003,21.485,1.518,6.6
"318",317,"Piedmont",37.8166666666667,-122.233333333333,NA,331,10667,1.678,1.678,0,4.345,4.345,0,0
"319",318,"Pinole",38.0044444444444,-122.291111111111,31,23,18390,13.575,5.323,8.252,35.16,13.787,21.372,60.79
"320",319,"PismoBeach",35.1483333333333,-120.648055555556,17,56,7655,13.476,3.599,9.877,34.904,9.322,25.582,73.29
"321",320,"Pittsburg",38.0280555555556,-121.884722222222,8,26,63264,19.154,17.218,1.936,49.61,44.595,5.015,10.11
"322",321,"Placentia",33.8825,-117.855,83,272,50533,6.582,6.568,0.014,17.048,17.011,0.037,0.22
"323",322,"Placerville",38.7297222222222,-120.798611111111,NA,1867,10389,5.813,5.812,0.001,15.054,15.052,0.002,0.01
"324",323,"PleasantHill",37.9480555555556,-122.0525,16,52,33152,7.072,7.072,0,18.315,18.315,0,0
"325",324,"Pleasanton",37.6625,-121.874722222222,NA,351,70285,24.266,24.113,0.153,62.847,62.452,0.395,0.63
"326",325,"Plymouth",38.4819444444444,-120.844722222222,330,1083,1005,0.944,0.931,0.013,2.444,2.411,0.033,1.34
"327",326,"PointArena",38.9088888888889,-123.693055555556,36,118,449,1.35,1.35,0,3.496,3.496,0,0
"328",327,"Pomona",34.0608333333333,-117.755833333333,259,850,1,22.964,22.952,0.012,59.474,59.444,0.03,0.05
"329",328,"Porterville",36.0686111111111,-119.0275,139,459,55697,17.679,17.607,0.072,45.79,45.603,0.188,0.41
"330",329,"PortHueneme",34.1602777777778,-119.194444444444,4,12,21723,4.671,4.451,0.22,12.096,11.528,0.569,4.7
"331",330,"Portola",39.8102777777778,-120.469722222222,1480,4856,2104,5.407,5.407,0,14.003,14.003,0,0
"332",331,"PortolaValley",37.375,-122.218611111111,140,459,4353,9.093,9.092,0.001,23.551,23.547,0.004,0.02
"333",332,"Poway",32.97,-117.038611111111,157,515,47811,39.165,39.079,0.086,101.438,101.214,0.223,0.22
"334",333,"RanchoCordova",38.5891666666667,-121.302777777778,27,89,64776,33.874,33.507,0.367,87.733,86.782,0.951,1.08
"335",334,"RanchoCucamonga",34.1233333333333,-117.579444444444,368,1207,170746,39.871,39.851,0.02,103.263,103.212,0.051,0.05
"336",335,"RanchoMirage",33.7691666666667,-116.421111111111,83,272,17218,NA,24.447,0.389,64.326,63.318,1.008,1.57
"337",336,"RanchoPalosVerdes",33.7583333333333,-118.364166666667,67,220,41643,13.465,13.465,0,34.875,34.874,0.001,0
"338",337,"RanchoSantaMargarita",33.6413888888889,-117.594444444444,290,775,47853,12.992,12.957,0.035,33.651,33.56,0.091,0.27
"339",338,"RedBluff",40.1766666666667,-122.238055555556,93,305,24674,7.677,7.563,0.114,19.882,19.587,0.295,1.48
"340",339,"Redding",40.5833333333333,-122.366666666667,151,495,92328,61.175,59.647,1.528,158.442,154.485,3.957,2.5
"341",340,"Redlands",34.0547222222222,-117.1825,414,1358,68747,36.427,36.126,0.301,94.344,93.565,0.779,0.83
"342",341,"RedondoBeach",33.8563888888889,-118.376944444444,NA,62,66748,6.208,6.198,0.01,16.08,16.054,0.026,0.16
"343",342,"RedwoodCity",37.4827777777778,-122.236111111111,6,20,76815,34.625,19.42,15.205,89.677,50.297,39.38,43.91
"344",343,"Reedley",36.5963888888889,-119.450277777778,106,348,24194,5.156,5.084,0.072,13.352,13.166,0.185,1.39
"345",344,"Rialto",34.1113888888889,-117.3825,383,1257,101740,22.365,22.351,0.014,57.926,57.889,0.037,0.06
"346",345,"Richmond",37.9358333333333,-122.347777777778,14,46,103701,52.48,30.068,22.412,135.923,77.875,58.048,42.71
"347",346,"Ridgecrest",35.6225,-117.670833333333,698,2290,27616,21.417,20.766,0.651,55.469,53.783,1.685,3.04
"348",347,"RioDell",40.4991666666667,-124.106388888889,49,161,3363,2.418,2.282,0.136,6.261,5.91,0.351,5.61
"349",348,"RioVista",38.1638888888889,-121.695833333333,6,20,7360,7.094,6.691,0.403,18.375,17.33,1.044,5.68
"350",349,"Ripon",37.7405555555556,-121.128333333333,21,69,14297,5.495,5.305,0.19,14.232,13.739,0.493,3.47
"351",350,"Riverbank",37.7313888888889,-120.943611111111,43,141,22678,4.116,4.092,0.024,10.661,10.599,0.062,0.59
"352",351,"Riverside",33.9480555555556,-117.396111111111,262,860,313673,81.444,81.14,0.304,210.941,210.152,0.788,0.37
"353",352,"Rocklin",38.8,-121.246666666667,79,249,56974,19.594,19.541,0.053,50.749,50.61,0.139,0.27
"354",353,"RohnertPark",38.3472222222222,-122.695277777778,32,105,40971,7.008,7.003,0.005,18.149,18.136,0.013,0.07
"355",354,"RollingHills",33.7594444444444,-118.341666666667,389,1276,1860,2.991,2.991,0,7.746,7.746,0,0
"356",355,"RollingHillsEstates",33.7736111111111,-118.360833333333,143,469,8067,3.613,3.569,0.044,9.359,9.244,0.115,1.22
"357",356,"Rosemead",34.0666666666667,-118.083333333333,97,318,53764,5.176,5.162,0.014,13.406,13.37,0.035,0.26
"358",357,"Roseville",38.7525,-121.289444444444,50,164,127323,36.223,36.222,0.001,93.817,93.814,0.003,0
"359",358,"Ross",37.9625,-122.555,11,36,2415,1.556,1.556,0,4.031,4.031,0,0
"360",359,"Sacramento",38.5555555555556,-121.468888888889,9,30,466488,100.105,97.915,2.19,259.273,253.6,5.673,2.19
"361",360,"Salinas",36.6777777777778,-121.655555555556,16,52,163665,23.217,23.179,0.038,60.131,60.033,0.099,0.16
"362",361,"SanAnselmo",37.9747222222222,-122.561666666667,14,46,12336,2.677,2.677,0,6.934,6.934,0,0
"363",362,"SanBernardino",34.1,-117.3,321,1974,209924,59.645,59.201,0.444,154.48,153.33,1.15,0.74
"364",363,"SanBruno",37.6252777777778,-122.425277777778,5,16,41114,5.478,5.478,0,14.188,14.188,0,0
"365",364,"SanCarlos",37.4991666666667,-122.263333333333,NA,33,28406,5.541,5.538,0.003,14.35,14.343,0.007,0.05
"366",365,"SanClemente",33.4377777777778,-117.620277777778,71,250,63522,19.468,18.711,0.757,50.422,48.461,1.961,3.89
"367",366,"SandCity",36.6172222222222,-121.848333333333,22,72,334,2.924,0.562,2.362,7.575,1.457,6.119,80.77
"368",367,"SanDiego",32.715,-117.1625,6,3,1345895,372.4,325.19,47.21,964.51,842.23,122.27,12.68
"369",368,"SanDimas",34.1027777777778,-117.816111111111,NA,750,33371,15.427,15.037,0.39,39.957,38.947,1.01,2.53
"370",369,"SanFernando",34.2872222222222,-118.438888888889,326,1070,23645,2.374,2.374,0,6.149,6.149,0,0
"371",370,"SanFrancisco",37.7833333333333,-122.416666666667,NA,52,837442,231.89,46.87,185.02,NA,NA,NA,80
"372",371,"SanGabriel",34.0941666666667,-118.098333333333,128,420,39718,4.146,4.145,0.001,10.736,10.734,0.002,0.02
"373",372,"Sanger",36.7080555555556,-119.555833333333,NA,371,24270,5.524,5.524,0,14.307,14.307,0,0
"374",373,"SanJacinto",33.7872222222222,-116.966666666667,477,1565,44199,26.131,25.716,0.415,67.679,66.605,1.074,1.59
"375",374,"SanJoaquin",36.6066666666667,-120.189166666667,53,174,4001,1.148,1.148,0,2.973,2.973,0,0
"376",375,"SanJose",37.3333333333333,-121.9,26,NA,1000536,179.97,176.526,3.439,466.109,457.201,8.908,1.91
"377",376,"SanJuanBautista",36.8441666666667,-121.537222222222,66,217,1862,0.711,0.711,0,1.843,1.842,0.001,0.06
"378",377,"SanJuanCapistrano",33.4994444444444,-117.661666666667,37,96,34593,14.295,14.115,0.18,37.024,36.559,0.466,1.26
"379",378,"SanLeandro",37.725,-122.156111111111,15,56,86869,15.663,13.343,2.32,40.565,34.557,6.008,14.81
"380",379,"SanLuisObispo",35.2741666666667,-120.663055555556,71,233,45119,12.93,12.777,0.153,33.489,33.093,0.396,1.18
"381",380,"SanMarcos",33.1419444444444,-117.170277777778,NA,NA,83781,24.39,24.37,0.02,63.169,63.117,0.053,0.08
"382",381,"SanMarino",34.1227777777778,-118.113055555556,172,564,13147,3.774,3.767,0.007,9.775,9.757,0.018,0.18
"383",382,"SanMateo",37.5541666666667,-122.313055555556,13,43,97207,15.884,12.13,3.754,41.137,31.416,9.722,23.63
"384",383,"SanPablo",37.9622222222222,-122.345555555556,16,52,29139,2.634,2.634,0,6.822,6.822,0,0
"385",384,"SanRafael",37.9736111111111,-122.531111111111,13,43,57713,22.422,16.47,5.952,58.074,42.657,15.417,26.55
"386",385,"SanRamon",37.78,-121.978055555556,146,480,73927,18.077,18.061,0.016,46.819,46.778,0.042,0.09
"387",386,"SantaAna",33.7408333333333,-117.881388888889,35,115,324528,27.518,27.27,0.248,71.271,70.628,0.643,0.9
"388",387,"SantaBarbara",34.4258333333333,-119.714166666667,15,49,90893,41.968,19.468,22.5,108.697,50.422,58.275,53.61
"389",388,"SantaClara",37.3544444444444,-121.969166666667,23,75,116468,18.407,18.407,0,47.675,47.675,0,0
"390",389,"SantaClarita",34.4166666666667,-118.506388888889,368,1207,209130,62.16,62.1,0.06,160.993,160.825,0.168,0.099
"391",390,"SantaCruz",36.9719444444444,-122.026388888889,11,36,62864,15.828,12.74,3.088,40.996,32.997,7.999,19.51
"392",391,"SantaFeSprings",33.9375,-118.067222222222,41,135,16223,8.914,8.874,0.04,23.088,22.985,0.103,0.45
"393",392,"SantaMaria",34.9513888888889,-120.433333333333,67,220,101459,23.395,22.756,0.639,60.592,58.937,1.655,2.73
"394",393,"SantaMonica",34.0219444444444,-118.481388888889,NA,105,89736,8.416,8.415,0.001,NA,NA,NA,NA
"395",394,"SantaPaula",34.3558333333333,-119.068333333333,85,279,29321,4.707,4.593,0.114,12.189,11.895,0.294,2.41
"396",395,"SantaRosa",38.4486111111111,-122.704722222222,50,164,170685,41.499,41.294,0.205,107.481,106.95,0.531,0.49
"397",396,"Santee",32.8697222222222,-116.971111111111,105,345,53413,16.528,16.235,0.293,42.808,42.049,0.759,1.77
"398",397,"Saratoga",37.2725,-122.019444444444,NA,410,29926,12.382,12.382,0,32.07,32.07,0,0
"399",398,"Sausalito",37.8591666666667,-122.485277777778,4,13,7061,2.257,1.771,0.486,5.846,4.586,1.259,21.54
"400",399,"ScottsValley",37.0513888888889,-122.013333333333,171,561,11580,4.595,4.595,0,11.9,11.9,0,0
"401",400,"SealBeach",33.7591666666667,-118.0825,4,13,24168,13.04,11.286,1.754,33.775,29.231,4.544,13.45
"402",401,"Seaside",36.6111111111111,-121.844722222222,10,33,33025,9.376,9.237,0.139,24.282,23.923,0.359,1.48
"403",402,"Sebastopol",38.3991666666667,-122.826944444444,25,82,7379,1.853,1.853,0,4.799,4.799,0,0
"404",403,"Selma",36.5708333333333,-119.611944444444,94,308,23219,5.136,5.136,0,13.303,13.303,0,0
"405",404,"Shafter",35.5005555555556,-119.271666666667,106,348,16988,27.945,27.945,0,72.376,72.376,0,0
"406",405,"ShastaLake",40.6780555555556,-122.37,246,810,10164,10.929,10.921,0.008,28.305,28.284,0.02,0.07
"407",406,"SierraMadre",34.1647222222222,-118.050833333333,252,827,10917,2.957,2.953,0.004,7.659,7.647,0.012,0.15
"408",407,"SignalHill",33.79935,-118.16558,45,148,11465,2.191,2.189,0.002,5.673,5.669,0.004,0.08
"409",408,"SimiValley",34.2711111111111,-118.739444444444,234,768,126874,42.247,41.48,0.767,109.418,107.433,1.986,1.81
"410",409,"SolanaBeach",32.9952777777778,-117.260277777778,22,72,12867,3.624,3.52,0.104,9.386,9.115,0.27,2.88
"411",410,"Soledad",36.4247222222222,-121.326388888889,58,190,25738,4.566,4.414,0.152,11.825,11.432,0.393,3.32
"412",411,"Solvang",34.5938888888889,-120.139722222222,154,505,5245,2.426,2.425,0.001,6.284,6.281,0.003,0.05
"413",412,"Sonoma",38.2888888888889,-122.458888888889,26,85,10648,2.742,2.742,0,7.102,7.102,0,0
"414",413,"Sonora",37.9844444444444,-120.381666666667,544,1785,7169,3.078,3.064,0.014,7.972,7.936,0.036,0.45
"415",414,"SouthElMonte",34.0488888888889,-118.048333333333,76,249,20116,2.848,2.843,0.005,7.378,7.364,0.014,0.19
"416",415,"SouthGate",33.9441666666667,-118.195,37,120,94396,7.353,7.236,0.117,19.044,18.742,0.303,1.59
"417",416,"SouthLakeTahoe",38.94,-119.976944444444,1901,6237,21403,16.603,10.161,6.442,43.003,26.318,16.685,38.8
"418",417,"SouthPasadena",34.1130555555556,-118.155833333333,201,659,25619,3.417,3.405,0.012,8.851,8.82,0.031,0.35
"419",418,"SouthSanFrancisco",37.6561111111111,-122.425555555556,4,13,64409,30.158,9.141,21.017,78.109,23.674,54.435,69.69
"420",419,"Stanton",33.8025,-117.994444444444,20,66,38186,3.15,3.15,0,8.158,8.158,0,0
"421",420,"StHelena",38.5052777777778,-122.470277777778,77,253,5814,5.027,4.986,0.041,13.019,12.913,0.106,0.81
"422",421,"Stockton",37.9755555555556,-121.300833333333,4,13,301090,64.753,61.67,3.083,167.708,159.723,7.985,4.76
"423",422,"SuisunCity",38.245,-122.016944444444,2,7,28111,4.163,4.105,0.058,10.783,10.633,0.15,1.39
"424",423,"Sunnyvale",37.3711111111111,-122.0375,39,128,140081,22.689,21.987,0.702,58.765,56.947,1.818,3.09
"425",424,"Susanville",40.4163888888889,-120.653055555556,1276,4186,17974,8.017,7.931,0.086,20.763,20.541,0.222,1.07
"426",425,"SutterCreek",38.3930555555556,-120.8025,362,1188,2501,2.558,2.558,0,6.625,6.625,0,0
"427",426,"Taft",35.1425,-119.456388888889,291,955,9327,15.113,15.113,0,39.143,39.143,0,0
"428",427,"Tehachapi",35.1322222222222,-118.448888888889,1210,3970,14414,9.971,9.874,0.097,25.823,25.573,0.25,0.97
"429",428,"Tehama",40.0244444444444,-122.123888888889,64,210,418,0.794,0.794,0,2.057,2.057,0,0
"430",429,"Temecula",33.5033333333333,-117.123611111111,310.59,1019,105208,30.167,30.151,0.016,78.133,78.092,0.042,0.05
"431",430,"TempleCity",34.1027777777778,-118.058055555556,122,400,35558,4.006,4.006,0,10.374,10.374,0,0
"432",431,"ThousandOaks",34.1894444444444,-118.875,270,886,128374,55.181,55.031,0.15,142.918,142.53,0.387,0.27
"433",432,"Tiburon",37.8736111111111,-122.456666666667,4,13,8962,13.182,4.446,8.736,34.14,11.515,22.625,66.27
"434",433,"Torrance",33.8347222222222,-118.341388888889,27,89,147027,20.553,20.478,0.075,53.233,53.038,0.195,0.37
"435",434,"Tracy",37.7380555555556,-121.433888888889,16,52,82922,22.139,22.003,0.136,57.34,56.987,0.352,0.61
"436",435,"Trinidad",41.0591666666667,-124.143055555556,53,174,367,0.671,0.485,0.186,1.737,1.255,0.482,27.75
"437",436,"Truckee",39.3422222222222,-120.203611111111,1773,5817,16180,33.654,32.322,1.332,87.162,83.713,3.449,3.96
"438",437,"Tulare",36.2066666666667,-119.3425,88,289,59278,21.016,20.931,0.085,54.433,54.212,0.221,0.41
"439",438,"Tulelake",41.9541666666667,-121.475833333333,1230,4035,1010,0.412,0.41,0.002,1.067,1.061,0.006,0.58
"440",439,"Turlock",37.5058333333333,-120.848888888889,31,102,69733,16.928,16.928,0,43.844,43.844,0,0
"441",440,"Tustin",33.7397222222222,-117.813611111111,43,141,75540,11.082,11.082,0,28.701,28.701,0,0
"442",441,"TwentyninePalms",34.1383333333333,-116.0725,607,1991,25768,59.143,59.143,0,153.179,153.179,0,0
"443",442,"Ukiah",39.1502777777778,-123.207777777778,193,639,16075,4.722,4.67,0.052,12.232,12.096,0.136,1.11
"444",443,"UnionCity",37.5869444444444,-122.025833333333,NA,NA,72155,19,19,0,NA,NA,NA,NA
"445",444,"Upland",34.1,-117.65,405,1328,73732,15.651,15.617,0.034,40.535,40.448,0.087,0.21
"446",445,"Vacaville",38.3538888888889,-121.972777777778,53,174,92428,28.585,28.373,0.212,74.034,73.485,0.55,0.74
"447",446,"Vallejo",38.1130555555556,-122.235833333333,21,60,115942,49.5,30.6,18.8,128.3,79.4,48.8,38
"448",447,"Ventura",34.275,-119.227777777778,NA,NA,106433,32.095,21.655,10.44,83.124,56.085,27.039,32.53
"449",448,"Vernon",34.0011111111111,-118.211111111111,62,203,112,5.157,4.973,0.184,13.357,12.88,0.476,3.57
"450",449,"Victorville",34.5361111111111,-117.288333333333,832,2726,120336,73.741,73.178,0.563,190.988,189.529,1.459,0.76
"451",450,"VillaPark",33.8161111111111,-117.811111111111,104,341,5812,2.078,2.078,0,5.383,5.383,0,0
"452",451,"Visalia",36.3166666666667,-119.3,101,331,124442,36.266,36.246,0.02,93.928,93.876,0.0512,0.05
"453",452,"Vista",33.1936111111111,-117.241111111111,99,325,93834,18.678,18.678,0,48.377,48.377,0,0
"454",453,"Walnut",34.0333333333333,-117.866666666667,171,561,29172,8.996,8.992,0.004,23.3,23.29,0.01,0.04
"455",454,"WalnutCreek",37.9063888888889,-122.065,NA,131,64173,19.769,19.757,0.012,51.201,51.169,0.031,0.06
